,transcription,SNR_25_model_no_train,SNR_25_model2_5k,SNR_25_model3_5k,SNR_25_model10k,SNR_25_model15k,SNR_50_model2_5k,SNR_50_model3_5k,SNR_50_model10k,SNR_50_model15k,SNR_50_model35k,SNR_10_model2_5k,SNR_10_model3_5k,SNR_10_model10k,SNR_10_model15k,SNR_10_model35k,SNR_25_whisper_medium,WER_SNR__model_no_train,WER_SNR__model2_5k,WER_SNR__model3_5k,WER_SNR__model10k,WER_SNR__model15k,WER_SNR__whisper_medium
0,tam nocne włóczęgi wołano z dachów jeżeli nie jesteście złodziejami których noc wywabiła na zarobek przyjdźcie tu do nas mamy dobre wino i wesołe kobiety," Hey, you there, night brands! They were calling from the roof. If you are not the thieves, who are being paid for the night, come here. We have good wine and happy women.",hej witam nocne marki wołano z dachów jeżeli nie jesteście złodziejami których noc wywabia na zarobek przyjdźcie tu do nas mamy dobre wino i wesołe kobiety,hej wytam nocne marki wołano z dachów jeżeli nie jesteście złodziejami których noc wywabia na zarobek przyjdźcie tu do nas mamy dobre wino i wesołe kobiety,wej wy tam nocne marki wołano z dachów jeżeli nie jesteście złodziejami których noc wywabia na zarobek przyjdźcie tu do nas mamy dobre wino i wesołe kobiety,hej wytam nocne marki wołano z dachów jeżeli nie jesteście złodziejami których noc wywabia na zarobek przyjdźcie tu do nas mamy dobre wino i wesołe kobiety,hej witam nocne marki wołano z dachów jeżeli nie jesteście złodziejami których noc wywabia na zarobek przyjdźcie tu do nas mamy dobre wino i wesołe kobiety,hej wy tam nocne marki wołano z dachów jeżeli nie jesteście złodziejami których noc wywabia na zarobek przyjdźcie tu do nas mamy dobre wino i wesołe kobiety,wej wy tam nocne marki wołano z dachów jeżeli nie jesteście złodziejami których noc wywabia na zarobek przyjdźcie tu do nas mamy dobre wino i wesołe kobiety,wytam nocne marki wołano z dachów jeżeli nie jesteście złodziejami których noc wywabia na zarobek przyjdźcie tu do nas mamy dobre wino i wesołe kobiety,hej wytam nocne marki wołano z dachów jeżeli nie jesteście złodziejami których noc wywabia na zarobek przyjdźcie tu do nas mamy dobre wino i wesołe kobiety,hej witam nocne marki wołano z dachów jeżeli nie jesteście złodziejami których noc wywabiano garobek przyjdźcie tu do nas mamy dobre wino i wesołe kobiety,hej wy tam nocne marki wołano z dachów jeżeli nie jesteście złodziejami których w noc wywabiano garobek przyjdźcie tu do nas mamy dobre wino i wesołe kobiety,wej wy tam nocne marki wołano z dachów jeżeli nie jesteście złodziejami których noc wywabiano zarobek przyjdźcie tu do nas mamy dobre wino i wesołe kobiety,hej witam nocne marki wołano z dachów jeżeli nie jesteście złodziejami których noc wywabia na zarobek przyjdźcie tu do nas mamy dobre wino i wesołe kobiety,hej witam nocne marki wołano z dachów jeżeli nie jesteście złodziejami których noc wywabiano zarobek przyjdźcie tu do nas mamy dobre wino i wesołe kobiety," Hej, witam, nocne Marki! Wołano z dachów. Jeżeli nie jesteście złodziejami, których noc wywabia na zarobek, przyjdźcie tu do nas. Mamy dobre wino i wesołe kobiety.",132.0,16.0,16.0,16.0,16.0,48.0
1,w  pracy  studenci  chcieliby  przede  wszystkim  odczuwać  satysfakcję  z  wykonywanych  zajęć  i  otrzymywać  za  nie  godziwe  wynagrodzenie  , Students would like to feel satisfied with their work and receive a good reward for it.,pracy  studenci  chcieliby  przede  wszystkim  odczuwać  satysfakcję  z  wykonywanych  zajęć  i  otrzymywać  za  nie  godziwe  wynagrodzenie  ,pracy  studenci  chcieliby  przede  wszystkim  odczuwać  satysfakcję  z  wykonywanych  zajęć  i  otrzymywać  za  nie  godziwe  wynagrodzenie  ,pracy  studenci  chcieliby  przede  wszystkim  odczuwać  satysfakcję  z  wykonywanych  zajęć  i  otrzymywać  za  nie  godziwe  wynagrodzenie  ,pracy  studenci  chcieliby  przede  wszystkim  odczuwać  satysfakcję  z  wykonywanych  zajęć  i  otrzymywać  za  nie  godziwe  wynagrodzenie  ,w  pracy  studenci  chcieliby  przede  wszystkim  odczuwać  satysfakcję  zdekonywanych  zajęć  i  otrzymywać  za  nie  godziwe  wynagrodzenie  ,w  pracy  studenci  chcieliby  przede  wszystkim  odczuwać  satysfakcję  z  wykonywanych  zajęć  i  otrzymywać  za  nie  godziwe  wynagrodzenie  ,w  pracy  studenci  chcieliby  przede  wszystkim  odczuwać  satysfakcję  z  wykonywanych  zajęć  i  otrzymywać  za  nie  godziwe  wynagrodzenie  ,w  pracy  studenci  chcieliby  przede  wszystkim  odczuwać  satysfakcję  z  wykonywanych  zajęć  i  otrzymywać  za  nie  godziwe  wynagrodzenie  ,w  pracy  studenci  chcieliby  przede  wszystkim  odczuwać  satysfakcję  z  wykonywanych  zajęć  i  otrzymywać  za  nie  godziwe  wynagrodzenie  ,w  pracy  studenci  chcieliby  przede  wszystkim  odsuwać  satysfakcję  wykonywanych  zajęć  i  otrzymywać  za  nie  godziwe  wynagrodzenie  ,w pracy  studenci  chcieliby  przede  wszystkim  odczuwać  satysfakcję  wykonywanych  zajęć  i  otrzymywać  za  nie  godziwe  wynagrodzenie  ,w pracy  studenci  chcieli  by  przede  wszystkim  odsuwać  satysfakcję  wykonywanych  zajęć  i  otrzymywać  za  nie  godziwe  wynagrodzenie  ,w  pracy  studenci  chcieli  by  przede  wszystkim  odsuwać  satysfakcję  wykonywanych  zajęć  i  otrzymywać  za  nie  godziwe  wynagrodzenie  ,pracy  studenci  chcieliby  przede  wszystkim  odsuwać  satysfakcję  wykonywanych  zajęć  i  otrzymywać  za  nie  godziwe  wynagrodzenie  , Pracy studenci chcieliby przede wszystkim odczuwać satysfakcję z wykonywanych zajęć i otrzymywać za nie godziwe wynagrodzenie.,100.0,5.88235294117647,5.88235294117647,5.88235294117647,5.88235294117647,17.647058823529413
2,co to znaczy sam siebie zapytywał faraon czy gołe łby sądzą że nie ośmielę się zaczepić świątyń czyli też mają jakieś nieznane mi środki obrony nas paf policya zawiadomiła władcę że ubiegłej nocy lud począł psuć mury otaczające świątynię horusa," What does it mean? The pharaoh himself asked, do naked lips think they can't catch the saints, which means they have some unknown means of defense there? On the 19th of the Pao, the police informed the ruler that at night, people began to break the walls surrounding the Horus temple.",co to znaczy sam siebie zapytywał faraon czy goły uby sądzą że nie ośmielą się zaczepić świąty czyli też mają tam jakieś nieznane mi środki obrony dziewiętnastego paofi policja zawiadomiła władcę że ubiegłej nocy lud począł psuć mury otaczające świątynię horusa,co to znaczy sam siebie zapytywał faraom czy goły łby sądzą że nie ośmielą się zaczepić świąty czyli też mają tam jakieś nieznane mi środki obrony 19 paofi policja zawiadomiła władkę że ubiegłej nocy lud począł psuć mury otaczające świątynię horusa,co to znaczy sam siebie zapytywał faraon czy gołe łby sądzą że nie ośmielę się zaczepić świątyń czyli też mają tam jakieś nieznane mi środki obrony dziewiętnastego paofi policja zawiadomiła władcę że ubiegłej nocy lud począł psuć mury otaczające świątynię horusa,co to znaczy sam siebie zapytywał faraon czy gołe ubysądzą że nie ośmielą się zaczepić świątyn czyli też mają tam jakieś nieznane mi środki obrony dziewiętnastego paofi policja zawiadomiła władcę że ubiegłej nocy lud począł psuć mury otaczające świątynię horusa,co to znaczy sam siebie zapytywał faraon czy goły uby sądzą że nie ośmielą się zaczepić świąty czyli też mają tam jakieś nieznane mi środki obrony dziewiętnastego paofi policja zawiadomiła władcę że ubiegłej nocy lud począł psuć mury otaczające świątynię horusa,co to znaczy sam siebie zapytywał faraon czy goły łby sądzą że nie ośmielą się zaczepić świąty czyli też mają tam jakieś nieznane mi środki obrony 19 paofi policja zawiadomiła władcę że ubiegłej nocy lud począł psuć mury otaczające świątynię horusa,co to znaczy sam siebie zapytywał faraon czy gołe łby sądzą że nie ośmielę się zaczepić świątyń czyli też mają tam jakieś nieznane mi środki obrony dziewiętnastego paofi policja zawiadomiła władcę że ubiegłej nocy lud począł psuć mury otaczające świątynię horusa,co to znaczy sam siebie zapytywał faraon czy gołyby sądzą że nie ośmielą się zaczepić świątyn czyli też mają tam jakieś nieznane mi środki obrony dziewiętnastego paofi policja zawiadomiła władcę że ubiegłej nocy lud począł psuć mury otaczające świątynię,co to znaczy sam siebie zapytywał faraon czy gołe łby sądzą że nie ośmielę się zaczepić świątyn czyli też mają tam jakieś nieznane mi środki obrony dziewiętnastego paofi policja zawiadomiła władcę że ubiegłej nocy lud począł psuć mury otaczające świątynię horusa,co to znaczy sam siebie zapytywał faraon czy goły uby sądzą że nie ośmielen się zaczepić świąty czyli też mają sam jakieś nieznane mi środki obrony dziewiętnastego paoki policja zawieromiła władcę że ubiegłej nocy lud począł psuć mury otaczające świątynię horusa,co to znaczy sam siebie zapytywał faraon czy goły ubyt sądzą że nie ośmielą się zaczepić świąty czyli też mają tam jakieś nieznane mi środki obrony 19 paoki policja zawiadomiła władztrę że ubiegłej nocy lud począł psuć mury otaczające świątynię horusa,co to znaczy sam siebie zapytywał faraon czy gołe łby sądzą że nie ośmielę się zaczepić świątyń czyli też mają tam jakieś nieznane mi środki obrony 19 pałacami policja zawiadomiła władztwem że ubiegłej nocy lud począł psuć mury otaczające świątynię horusa,co to znaczy sam siebie zapytywał faraon czy gołybyt sądzą że nie ośmielą się zaczepić świątyn czyli też mają tam jakieś nieznane mi środki obrony dziewiętnastego paoki policja zawiadomiła władcę że ubiegłej nocy lud począł psuć mury otaczające świątynię horusa,co to znaczy sam siebie zapytywał faraon czy gołe łby sądzą że nie ośmielę się zaczepić świątyn czyli też mają tam jakieś nieznane mi środki obrony 19 pałacu policja zawiadomiła władcę że ubiegłej nocy lud począł psuć mury otaczające świątynię horusa," Co to znaczy? – sam siebie zapytywał Faraon. Czy gołe łby sądzą, że nie ośmielą się zaczepić świąty, czyli też mają tam jakieś nieznane mi środki obrony? 19 pałowcy policja zawiadomiła władcę, że ubiegłej nocy lud począł psuć mury otaczające świątynię Horusa.",127.49999999999999,20.0,22.5,10.0,20.0,37.5
3,tylko na piaszczystem wybrzeżu lub na łąkach bawi się czworo dzieci zbierając muszle i kwiaty lub igrając z kilkoma psami zrodzonemi już na księżycu i myśmy już przywykli do tego świata," Only on the sandy coast or on the meadows four children play, collecting mussels and flowers or playing with a few dogs born on the moon. And we are already used to this world.",tylko na piaszczystym wybrzeżu lub na łąkach bawi się czworo dzieci zbierając muszle i kwiaty lub i grając z kilkoma psami zrodzonemi już na księżycu i myśmy już przywykli do tego świata,tylko na piaszczystym wybrzeżu lub na łąkach bawi się czworo dzieci zbierając muszle i kwiaty lub i grając z kilkoma psami zrodzonemi już na księżycu i myśmy już przywykli do tego świata,tylko na piaszczystym wybrzeżu lub na łąkach bawi się czworo dzieci zbierając muszle i kwiaty lub i grając z kilkoma psami zrodzonemi już na księżycu i myśmy już przywykli do tego świata,tylko na piaszczystym wybrzeżu lub na łąkach bawi się czworo dzieci zbierając muszle i kwiaty lub i grając z kilkoma psami zrodzonymi już na księżycu i myśmy już przywykli do tego świata,tylko na piaszczystym wybrzeżu lub na łąkach bawi się czworo dzieci zbierając muszle i kwiaty lub i grając z kilkoma psami zrodzonemi już na księżycu i myśmy już przywykli do tego świata,tylko na piaszczystym wybrzeżu lub na łąkach bawi się czworo dzieci zbierając muszle i kwiaty lub i grając z kilkoma psami zrodzonemi już na księżycu i myśmy już przywykli do tego świata,tylko na piaszczystym wybrzeżu lub na łąkach bawi się czworo dzieci zbierając muszle i kwiaty lub i grając z kilkoma psami zrodzonemi już na księżycu i myśmy już przywykli do tego świata,tylko na piaszczystym wybrzeżu lub na łąkach bawi się czworo dzieci zbierając muszle i kwiaty lub i grając z kilkoma psami zrodzonymi już na księżycu i myśmy już przywykli do tego świata,tylko na piaszczystym wybrzeżu lub na łąkach bawi się czworo dzieci zbierając muszle i kwiaty lub igrając z kilkoma psami zrodzonemi już na księżycu i myśmy już przywykli do tego świata,tylko na piaszczystym wybrzeżu lub na łąkach bawi się czworo dzieci zbierając muszle i kwiaty lub i grając z kilkoma psami zrodzonymi już na księżycu i myśmy już przywykli do tego świata,tylko na piaszczystym wybrzeżu lub na łąkach bawi się czworo dzieci zbierając muszle i kwiaty lub i grając z kilkoma psami zrodzonemi już na księżycu i myśmy już przywykli do tego świata,tylko na piaszczystym wybrzeżu lub na łąkach bawi się czworo dzieci zbierając muszle i kwiaty lub i grając z kilkoma psami zrodzonemi już na księżycu i myśmy już przywykli do tego świata,tylko na piaszczystym wybrzeżu lub na łąkach bawi się czworo dzieci zbierając muszle i kwiaty lub i grając z kilkoma psami zrodzonymi już na księżycu i myśmy już przywykli do tego świata,tylko na piaszczystym wybrzeżu lub na łąkach bawi się czworo dzieci zbierając muszle i kwiaty lub igrając z kilkoma psami zrodzonemi już na księżycu i myśmy już przywykli do tego świata," Tylko na piaszczystym wybrzeżu lub na łąkach bawi się czworo dzieci, zbierając muszle i kwiaty lub i grając z kilkoma psami zrodzonymi już na księżycu. I myśmy już przywykli do tego świata.",109.6774193548387,9.67741935483871,9.67741935483871,9.67741935483871,12.903225806451612,29.03225806451613
4,zaokrągla  uziemienie  księdzu  liźnięcie  rolę  lot  nieziemski  brydżowy  utęsknieniona  ogrodzony  ," Zaukrągla, uziemienie, księdzu, liźnięcie, role, lot, nieziemski, brudżowy, utęskniona, ogrodzony.",zaokrągla  uziemienie  księdzu  liźnięcie  role  lot  nieziemski  brdżowy  utęskniona  ogrodzony  ,zaokrągla  uziemienie  księdzu  liźnięcie  role  lot  nieziemski  brdżowy  utęskniona  ogrodzony  ,zaokrągla  uziemienie  księdzu  liźnięcie  role  lot  nieziemski  brydżowy  utęskniona  ogrodzony  ,zaokrągle  uziemienie  księdzu  liźnięcie  rolę  lot  nieziemski  brdżowy  utęskniona  ogrodzony  ,zaokrągla  uziemienie  księdzu  liźnięcie  role  lot  nieziemski  brdżowy  utęskniona  ogrodzony  ,za  okrągla  uziemienie  księdzu  liźnięcie  role  lot  nieziemski  brdżowy  utęskniona  ogrodzony  ,zaokrągla  uziemienie  księdzu  liźnięcie  role  lot  nieziemski  brydżowy  utęskniona  ogrodzony  ,zaokrągle  uziemienie  księdzu  liźnięcie  rolę  lot  nieziemski  brdżowy  utęskniona  ogrodzony  ,zaokrągla  uziemienie  księdzu  liźnięcie  role  lot  nieziemski  brydżowy  utęskniona  ogrodzony  ,zaokrągla  uziemienie  księdzu  liźnięcie  role  lot  nieziemski  wróczowy  utęskniona  ogrodzona  ,zaokrągla  uziemienie  księdzu  liźnięcie  role  lot  nieziemski  brudżowy  upęskniona  ogrodzone  ,zaokrągla  uziemienie  księdzu  liźnięcie  role  lot  nieziemski  brudżowy  upęskniona  ogrodzona  ,zaokrągle  uziemienie  księdzu  liźnięcie  rolę  lot  nieziemski  wróczowy  upęskniona  ogrodzony  ,zaokrągla  uziemienie  księdzu  liźnięcie  role  lot  nieziemski  brudżowy  utęskniona  ogrodzony  ," Zaokrągla, uziemienie, księdzu, liźnięcie, role, lot, nieziemski, brudżowy, utęskniona, ogrodzony.",100.0,30.0,30.0,20.0,30.0,100.0
5,poczem przyprowadził biankę do domu matka i siostra landulfa przyjęły niegodziwą daleko lepiej niż na to zasługiwała ale bianka widząc ich dobroć podwoiła jeszcze," Then he went and brought Bianca home. Mother and sister of Randolph welcomed him with surprise much better than she deserved. But Bianca, seeing their kindness, still had a double honor.",po czym poszedł i przyprowadził biankę do domu matka i siostra landulfa przyjęły niegodziwą daleko lepiej niż na to zasługiwała ale bianka widząc ich dobroć podwoiła jeszcze zuchwałość,poszedł i przyprowadził biankę do domu matka i siostra landolfa przyjęły niegodziwą daleko lepiej niż na to zasługiwała ale bianka widząc ich dobroć podwoziła jeszcze zuchwałość,po czym poszedł i przyprowadził biankę do domu matka i siostra landolfa przyjęły niegodziwą daleko lepiej niż na to zasługiwała ale bianka widząc ich dobroć podwoiła jeszcze zuchwałość,po czym poszedł i przyprowadził biankę do domu matka i siostra landolfa przyjęły niegodziwą daleko lepiej niż na to zasługiwała ale bianka widząc ich dobroć podwoiła jeszcze zuchwałość,po czym poszedł i przyprowadził biankę do domu matka i siostra landulfa przyjęły niegodziwą daleko lepiej niż na to zasługiwała ale bianka widząc ich dobroć podwoiła jeszcze zuchwałość,poszedł i przyprowadził biankę do domu matka i siostra landolfa przyjęły niegodziwą daleko lepiej niż na to zasługiwała ale bianka widząc ich dobroć podwoziła jeszcze zuchwałość,po czym poszedł i przyprowadził biankę do domu matka i siostra landolfa przyjęły niegodziwą daleko lepiej niż na to zasługiwała ale bianka widząc ich dobroć podwoiła jeszcze zuchwałość,po czym poszedł i przyprowadził biankę do domu matka i siostra landolfa przyjęły niegodziwą daleko lepiej niż na to zasługiwała ale bianka widząc ich dobroć podwoiła jeszcze zuchwałość,po czym poszedł i przyprowadził biankę do domu matka i siostra landolfa przyjęły niegodziwą daleko lepiej niż na to zasługiwała ale bianka widząc ich dobroć podwoiła jeszcze zuchwałość,po czym poszedł i przyprowadził biankę do domu matka i siostra landulfa przyjęły niegodziwą dalekoleky niż na to zasługiwała ale bianka widząc ich dobroć podwoiła jeszcze zuchwałość,po czym poszedł i przyprowadził biankę do domu matka i siostra landolfa przyjęły niegodziwą daleko leki niż na to zasługiwała ale bianka widząc ich dobroć podwoiła jeszcze zuchwałość,po czym poszedł i przyprowadził biankę do domu matka i siostra londolfa przyjęły niegodziwą daleko leki niż na to zasługiwała ale bianka widząc ich dobroć podwoiła jeszcze zuchwałość,po czym poszedł i przyprowadził biankę do domu matka i siostra landolfa przyjęły niegodziwą daleko lekki niż na to zasługiwała ale bianka widząc ich dobroć podwoiła jeszcze zuchwałość,po czym poszedł i przyprowadził biankę do domu matka i siostra landolfa przyjęły niegodziwą daleko leki niż na to zasługiwała ale bianka widząc ich dobroć podwoiła jeszcze zuchwałość," Po czym poszedł i przyprowadził Biankę do domu. Matka i siostra Landolfa przyjęły niego dziwą daleko lepiej niż na to zasługiwała, ale Bianka, widząc ich dobroć, podwoiła jeszcze z uchwałość.",129.16666666666669,20.833333333333336,20.833333333333336,25.0,25.0,62.5
6,W końcu czy naprawdę robimy dobrze łącząc przepisy z podnoszeniem podatków?," Finally, are we really doing well by combining the rules with the increase in taxes?","W końcu, czy naprawdę robimy dobrze łącząc przepisy z podnoszeniem podawków?","W końcu, czy naprawdę robimy dobrze łącząc przepisy z podnoszeniem podawków?","W końcu, czy naprawdę robimy dobrze łącząc przepisy z podnoszeniem podatków?",A w końcu czy naprawdę robimy dobrze łącząc przepisy z podnoszeniem podawków?,"W końcu, czy naprawdę robimy dobrze łącząc przepisy z podnoszeniem podawków?","W końcu, czy naprawdę robimy dobrze łącząc przepisy z podnoszeniem podatków?","W końcu, czy naprawdę robimy dobrze łącząc przepisy z podnoszeniem podatków?","W końcu, czy naprawdę robimy dobrze łącząc przepisy z podnoszeniem podawków?","W końcu, czy naprawdę robimy dobrze łącząc przepisy z podnoszeniem podatków?",W końcu czy naprawdę gdybyśmy dobrze łączyli z przepisy z podnoszenia praw,"W końcu, czy naprawdę robimy dobrze łącząc przepisy z podnoszeniem podatków?",w końcu czy naprawdę gdy nie dobrze łącząc przepisy z podnoszenia prawa,w końcu czy naprawdę robimy dobrze łącząc przepisy z podnoszeniem podawków,w końcu czy naprawdę gdyby nie dobrze łącząc przepisy z podnoszeniem praw, W końcu czy naprawdę robimy dobrze łącząc przepisy z podnoszeniem podatków?,136.36363636363635,18.181818181818183,18.181818181818183,9.090909090909092,27.27272727272727,0.0
7,Tymi sprawami muszą się zająć odpowiednie państwa członkowskie, These matters must be taken care of by the proper member states.,Tymi sprawami muszą się zająć odpowiednie państwa członkowskie,Tym sprawami muszą się zająć odpowiednie państwa członkowskie,Tymi sprawami muszą się zająć odpowiednie państwa członkowskie,Czymi sprawami muszą się zająć odpowiednie państwa członkowskie,Tymi sprawami muszą się zająć odpowiednie państwa członkowskie,Tym sprawami muszą się zająć odpowiednie państwa członkowskie,Tymi sprawami muszą się zająć odpowiednie państwa członkowskie,Czymi sprawami muszą się zająć odpowiednie państwa członkowskie,Tymi sprawami muszą się zająć odpowiednie państwa członkowskie,Wymi sprawami muszą się zająć odpowiednie państwa członkowskie,Z tymi sprawami muszą się zająć odpowiednie państwa członkowskie,Zemistrowani muszą się zająć odpowiednie państwa członkowskie,Cymi sprawami muszą się zająć odpowiednie państwa członkowskie,Zymi sprawami muszą się zająć odpowiednie państwa członkowskie, Tymi sprawami muszą się zająć odpowiednie państwa członkowskie.,150.0,0.0,12.5,0.0,12.5,12.5
8,po  pierwsze  do  pełnego  złotego  zaokrąglana  jest  podstawa  opodatkowania  czyli  naliczone  przez  bank  odsetki  i  dopiero  od  tej  kwoty  liczy  się  podatek  ," Po pierwsze, do pełnego złotego zaokrąglona jest podstawa opodatkowania, czyli naliczone przez bank odsetki i dopiero od tej kwoty liczy się podatek.",po  pierwsze  do  pełnego  złotego  zaokrąglona  jest  podstawa  opodatkowania  czyli  naliczone  przez  bank  odsetki  i  dopiero  od  tej  kwoty  liczy  się  podatek  ,po  pierwsze  do  pełnego  złotego  zaokrąglona  jest  podstawa  opodatkowania  czyli  naliczone  przez  bank  odsetki  i  dopiero  od  tej  kwoty  liczy  się  podatek  ,po  pierwsze  do  pełnego  złotego  zaokrąglona  jest  podstawa  opodatkowania  czyli  naliczone  przez  bank  od  setki  i  dopiero  od  tej  kwoty  liczy  się  podatek  ,po  pierwsze  do  pełnego  złotego  zaokrąglona  jest  podstawa  opodatkowania  czyli  naliczone  przez  bank  odsetki  i  dopiero  od  tej  kwoty  liczy  się  podatek  ,po  pierwsze  do  pełnego  złotego  zaokrąglona  jest  podstawa  opodatkowania  czyli  naliczone  przez  bank  odsetki  i  dopiero  od  tej  kwoty  liczy  się  podatek  ,po  pierwsze  do  pełnego  złotego  zaokrąglona  jest  podstawa  opodatkowania  czyli  naliczone  przez  bank  od  setki  i  dopiero  od  tej  kwoty  liczy  się  podatek  ,po  pierwsze  do  pełnego  złotego  zaokrąglona  jest  podstawa  opodatkowania  czyli  naliczone  przez  bank  od  setki  i  dopiero  od  tej  kwoty  liczy  się  podatek  ,po  pierwsze  do  pełnego  złotego  zaokrąglona  jest  podstawa  opodatkowania  czyli  naliczone  przez  bank  odsetki  i  dopiero  od  tej  kwoty  liczy  się  podatek  ,po  pierwsze  do  pełnego  złotego  zaokrąglona  jest  podstawa  opodatkowania  czyli  naliczone  przez  bank  odsetki  i  dopiero  od  tej  kwoty  liczy  się  podatek  ,po  pierwsze  do  pełnego  złotego  zaokrąglona  jest  podstawa  opodatkowania  czyli  naliczone  przez  bank  odsetki  i  dopiero  od  tej  kwoty  liczy  się  odatek  ,po pierwsze do pełnego złotego zaokrąglona jest podstawa opodatkowania czyli naliczone przez bank odsetki i dopiero od tej kwoty liczy się podatek,po  pierwsze  do  pełnego  złotego  zaokrąglona  jest  podstawa  opodatkowania  czyli  naliczone  przez  bank  odsetki  i  dopiero  od  tej  kwoty  liczy  się  podatek  ,po  pierwsze  do  pełnego  złotego  zaokrąglona  jest  podstawa  opodatkowania  czyli  naliczone  przez  bank  odsetki  i  dopiero  od  tej  kwoty  liczy  się  podatek  ,po  pierwsze  do  pełnego  złotego  zaokrąglona  jest  podstawa  opodatkowania  czyli  naliczone  przez  bank  odsetki  i  dopiero  od  tej  kwoty  liczy  się  podatek  ," Po pierwsze, do pełnego złotego zaokrąglona jest podstawa opodatkowania, czyli naliczone przez bank odsetki i dopiero od tej kwoty liczy się podatek.",22.727272727272727,4.545454545454546,4.545454545454546,13.636363636363635,4.545454545454546,22.727272727272727
9,Unia Europejska musi możliwie najprędzej zawrzeć umowę ramową, The European Union must be able to close the framework agreement as soon as possible.,Unia Europejska musi możliwie najprędzej zawrzeć umowę ramową,Unia Europejska musi możliwie najprędzej zawrzeć umowę ramową,Unia Europejska musi możliwie najprędzej zawrzeć umowę ramową,Unia Europejska musi możliwie najprędzej zawrzeć umowę ramową,Unia Europejska musi możliwie najprędzej zawrzeć umowę ramową,Unia Europejska musi możliwie najprędzej zawrzeć umowę ramową,Unia Europejska musi możliwie najprędzej zawrzeć umowę ramową,Unia Europejska musi możliwie najprędzej zawrzeć umowę ramową,Unia Europejska musi możliwie najprędzej zawrzeć umowę ramową,Unia Europejska musi możliwie najprędzej zawrzeć umowę ramową,Unia Europejska musi możliwie najprędzej zawrzeć umowę ramową,Unia Europejska musi możliwie najprędzej zawrzeć umowę ramową,Unia Europejska musi możliwie najprędzej zawrzeć umowę ramową,Unia Europejska musi możliwie najprędzej zawrzeć umowę ramową, Unia Europejska musi możliwie najprędzej zawrzeć umowę ramową.,187.5,0.0,0.0,0.0,0.0,12.5
